"DateTimePST","DateTimeUTC","Stage","WT","YI","VB","WTmn","WTmx","WTvr","TW","LSU","TS_slot","TS_smp_code","TS_thr_code","IBatt","ISolar","Stg_Qual","TBatt","VLoad","VSolar","file_name"
2020-04-01 23:00:00,2020-04-02 07:00:00,0.21,2,-2.2,12.6,1,27,13.2,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 23:15:00,2020-04-02 07:15:00,0.21,2,-2.2,12.6,1,15,5.8,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 23:30:00,2020-04-02 07:30:00,0.21,3,-2.2,12.6,1,18,8.9,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 23:45:00,2020-04-02 07:45:00,0.2,2,-2.4,12.6,1,14,7.4,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 00:00:00,2020-04-02 08:00:00,0.2,2,-2.4,12.6,1,7,1.2,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 00:15:00,2020-04-02 08:15:00,0.21,2,-2.2,12.6,1,17,4.3,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 00:30:00,2020-04-02 08:30:00,0.2,2,-2.2,12.6,1,8,1.7,0.4,5,0,0,0,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 00:45:00,2020-04-02 08:45:00,0.21,2,-2.4,12.6,1,29,10,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 01:00:00,2020-04-02 09:00:00,0.2,2,-2.2,12.6,1,40,21.2,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 01:15:00,2020-04-02 09:15:00,0.21,2,-2.2,12.6,1,11,3.1,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 01:30:00,2020-04-02 09:30:00,0.21,2,-2.2,12.6,1,41,24.8,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 01:45:00,2020-04-02 09:45:00,0.2,2,-2.2,12.6,1,41,20.9,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 02:00:00,2020-04-02 10:00:00,0.21,2,-2.2,12.6,1,17,3.4,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 02:15:00,2020-04-02 10:15:00,0.21,2,-2.4,12.6,1,16,3.9,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 02:30:00,2020-04-02 10:30:00,0.21,2,-2.2,12.6,1,9,1.3,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 02:45:00,2020-04-02 10:45:00,0.2,2,-2.2,12.6,1,18,4.9,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 03:00:00,2020-04-02 11:00:00,0.2,2,-2.2,12.6,1,18,7.3,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 03:15:00,2020-04-02 11:15:00,0.2,2,-2.2,12.6,1,18,4.2,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 03:30:00,2020-04-02 11:30:00,0.2,2,-2.2,12.6,1,29,9.9,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 03:45:00,2020-04-02 11:45:00,0.21,2,-2.2,12.6,1,15,5.4,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 04:00:00,2020-04-02 12:00:00,0.2,2,-2.4,12.6,1,43,19.1,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 04:15:00,2020-04-02 12:15:00,0.2,2,-2.2,12.6,1,43,19.1,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 04:30:00,2020-04-02 12:30:00,0.2,2,-2.4,12.6,1,10,2.3,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 04:45:00,2020-04-02 12:45:00,0.2,2,-2.4,12.6,1,42,19.2,0.4,5,0,0,0,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 05:00:00,2020-04-02 13:00:00,0.2,2,-2.6,12.6,1,16,5.5,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 05:15:00,2020-04-02 13:15:00,0.2,2,-2.6,12.6,1,21,7.1,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 05:30:00,2020-04-02 13:30:00,0.2,2,-2.6,12.6,1,12,3.5,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 05:45:00,2020-04-02 13:45:00,0.2,2,-2.6,12.6,1,24,5.9,0.4,5,0,0,0,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-02 06:00:00,2020-04-02 14:00:00,0.2,2,-2.6,12.6,1,31,13.1,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
